type,title,release_year,rating,duration,listed_in,description,show_id,director,cast,country,date_added
Movie,Safety,2020,PG,123 min,"Biographical, Drama, Sports",A drama inspired by the empowering story of former Clemson University safety Ray McElrathbey.,s344,Reginald Hudlin,"Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale, Hunter Sansone",United States,"Friday, December 11, 2020"
Movie,Godmothered,2020,PG,113 min,"Comedy, Family, Fantasy",An inexperienced fairy godmother-in-training tries to prove that people still need fairy godmothers.,s346,Sharon Maguire,"June Squibb, Jillian Bell, Jane Curtin, Carlease Burke, Sonia Manzano, Erica Parks",United States,"Friday, December 4, 2020"
Movie,Sky High,2005,PG,101 min,"Action-Adventure, Comedy, Family",It takes inner and outer strength to make a name for yourself when you're the son of heroes.,s349,Mike Mitchell,"Kelly Preston, Lynda Carter, Michael Angarano, Danielle Panabaker, Mary Elizabeth Winstead, Bruce Campbell",United States,"Friday, December 4, 2020"
Movie,The Nutcracker and the Four Realms,2018,PG,101 min,"Action-Adventure, Family, Fantasy",From Disney comes the reimagined tale of The Nutcracker.,s351,"Lasse Hallström, Joe Johnston","Keira Knightley, Mackenzie Foy, Eugenio Derbez, Jayden Fowora-Knight, Matthew Macfadyen, Richard Grant",United States,"Friday, December 4, 2020"
Movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,PG,83 min,"Comedy, Coming of Age, Family",It's one calamity after another during the worst day of Alexander's life.,s352,Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey, Jennifer Coolidge",United States,"Friday, November 27, 2020"
Movie,Planes,2013,PG,94 min,"Action-Adventure, Animation, Comedy",A crop duster takes on the world’s fastest in the greatest air race ever.,s360,Klay Hall,"Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher, Julia Louis-Dreyfus, Priyanka Chopra",United States,"Friday, November 20, 2020"
Movie,Planes: Fire & Rescue,2014,PG,85 min,"Action-Adventure, Animation, Comedy",Air racer Dusty teams up with a dynamic crew of flying firefighters.,s361,Bobs Gannaway,"Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong, John Higgins, Hal Holbrook",United States,"Friday, November 20, 2020"
Movie,Home Alone,1990,PG,103 min,"Comedy, Family","When Kevin is home while his family goes on a Christmas trip, he must defend his home from burglars.",s365,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Roberts Blossom, Catherine O'Hara",United States,"Friday, November 13, 2020"
Movie,Home Alone 2: Lost in New York,1992,PG,121 min,"Comedy, Family",Kevin is home alone in NYC but won't be for long since the Wet Bandits are also in the Big Apple.,s366,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Devin Ratray, Catherine O'Hara",United States,"Friday, November 13, 2020"
Movie,Home Alone 3,1997,PG,103 min,"Comedy, Family","A gang of criminals come up against 8 year-old Alex Pruitt, who is home alone with the chicken pox.",s367,Raja Gosnell,"Alex D. Linz, Haviland Morris, Olek Krupa",United States,"Friday, November 13, 2020"
Movie,Disney's A Christmas Carol,2009,PG,97 min,"Animation, Fantasy",Three ghosts take Ebenezer Scrooge on an eye-opening journey.,s371,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Bob Hoskins, Robin Penn, Cary Elwes",United States,"Friday, November 6, 2020"
